Dataset,SOP1_Mean_Genuine,SOP1_Mean_Forged,SOP1_Std_Genuine,SOP1_Std_Forged,SOP1_EER,SOP1_AUC_ROC,SOP1_Threshold,SOP1_Overlap_Area,SOP1_FAR,SOP1_FRR,SOP2_Time_Per_Query,SOP2_Silhouette,SOP2_IntraClass_Var,SOP3_Mean_PSNR,SOP3_Accuracy_Drop,SOP3_Mean_Shift,SOP3_Max_Shift,Accuracy,F1_Score
CEDAR,0.0010406066,0.000144881,0.00758159,0.00042266352,0.02777777777937089,0.02777777777777779,4.7683716e-07,0.9722222222222222,0.027777777777777776,0.005555555555555556,0.0001420903205871582,0.98512554,5.781712e-06,20.276388,0.9861111111111112,0.011022923,0.43970913,0.9833333333333333,0.9835164835164835
BHSig260_Bengali,0.009209722,0.0050199656,0.013876927,0.008330172,0.49166666666672215,0.5273858024691358,5.9604645e-08,0.8544444552389541,0.5027777777777778,0.41888888888888887,0.00017893075942993164,0.3159161,0.0012528282,13.672554,0.5555555555555556,2.3560944,6.5913615,0.5438271604938272,0.5859943977591037
BHSig260_Hindi,0.00029294958,0.00011797442,0.0014971325,0.0002782053,0.6942028985507177,0.7325558939531844,inf,0.9846618357487923,0.0,1.0,0.0005978083610534668,0.40116873,0.00081534876,13.672783,0.4444444444444444,0.8121675,2.5502927,0.4444444444444444,0.0
